OBJECTID,Latin_Name,Common_Name,Family_Name,Former_Latin_Name,Plant_Type,Bloom_Time,Flower_Color,Size_at_Maturity,Climate_Appropriate_Plants,Plant_Communities,Suitable_Site_Conditions,Soil_Type,Pruning_Needs,Water_Needs,Habitat_Value,Associated_Wildlife,Stormwater_Benefit,Appropriate_Location,Suggested_for_Green_Connection_Routes,Street_Tree_List,Additional_Characteristices___Notes,PhotoCredit01,Nurseries,PhotoCredit02,PhotoCredit03,PhotoCredit04
1,Acacia baileyana 'Purpurea',Purple-Leaf Acacia,Fabaceae,,Tree (evergreen),Spring,Yellow,> 24 ft,Exotic,,Sun,,,Low,,Birds;Butterflies,No,Sidewalk,NA,2 (B),"Fast grower, high maintenance.","SelecTree. ""Acacia baileyana 'Purpurea' Photo Record."" 1995-2012. Jul 3, 2014.",,"SelecTree. ""Acacia baileyana 'Purpurea' Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Acacia baileyana 'Purpurea' Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Acacia baileyana 'Purpurea' Photo Record."" 1995-2012. Jul 3, 2014."
2,Acer buergeranum,Trident Maple,"Sapindaceae
Aceraceae",,Tree (deciduous),Spring,,13-24 ft,Exotic,,Part shade;Sun,,,NA,,,No,Sidewalk,NA,2 (B),"Prefers heat, wind protection.","SelecTree. ""Acer buergerianum Photo Record."" 1995-2012. Jul 3, 2014.",,"SelecTree. ""Acer buergerianum Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Acer buergerianum Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Acer buergerianum Photo Record."" 1995-2012. Jul 3, 2014."
3,Acer macrophyllum,Bigleaf Maple,Sapindaceae,,Tree (deciduous),Spring,Orange;Red;Yellow,> 24 ft,CA Native,Riparian,Shade;Sun,All,,Moderate,Nectar;Nesting,Bees;Birds;Butterflies,Yes,Backyard,18,NA,Provides shelter for wildlife,J. E.(Jed) and Bonnie McClellan © California Academy of Sciences,,Charles Webber © California Academy of Sciences,©2003 Barry Breckling (CC BY-NC-SA 3.0),Walter Siegmund (CC BY-SA 3.0)
4,Acer negundo,Box Elder,Sapindaceae,,Tree (deciduous),Spring,Pink,> 24 ft,SF Native ,Chaparral;Grassland/prairie;Riparian;Woodland,Shade;Sun,All,,Moderate,Buds/greens;Nesting,Bees;Birds;Butterflies;Insects,No,Backyard,NA,NA,Withstands wind.,©2005 Sten Porse (CC BY-SA 3.0),,©2013 Jean Pawek,©2006 Louis-M. Landry,©Max Licher
5,Acer rubrum,Red Maple,Sapindaceae,,Tree (deciduous),Spring,Red,> 24 ft,Exotic,,Part shade;Sun,"Clay,Loam,Sand",,Moderate,,,Yes,Sidewalk,NA,2 (B),"Prefers heat, wind protection","SelecTree. ""Acer rubrum Photo Record."" 1995-2012. Jul 3, 2014.",,"SelecTree. ""Acer rubrum Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Acer rubrum Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Acer rubrum Photo Record."" 1995-2012. Jul 3, 2014."
6,Achillea millefolium,Yarrow,Sapindaceae,,Perennial,Spring;Summer,White,1-3 ft,SF Native ,Coastal scrub;Grassland/prairie,Part shade;Sun,All,,Low,Buds/greens;Nectar,Bees;Butterflies;Insects,Yes,Backyard;Roof;Sidewalk,6,NA,"Recommended.  Travels by runners, self sowing, and can go anywhere.",Charles Webber © California Academy of Sciences,Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,©2001 Jeff Abbas,Charles Webber © California Academy of Sciences,"© Br. Alfred Brousseau, Saint Mary's College"
7,Acmispon glaber,Deer Weed,Fabaceae,Lotus scoparius,Perennial,Spring;Summer,Red;Yellow,1-3 ft,SF Native ,"Coastal Scrub, Dunes",Sun,All,,None,Buds/greens;Cover;Fruit;Nectar,Butterflies,Yes,Backyard;Roof,21,NA,"Practical and attractive plant. Attracts Black-tailed jackrabbit, Grey Hairstreak (Strymon melinus), and Green Hairstreak (Callophrys viridis) butterflies. Grows in disturbed soil.",©2012 Aaron Arthur,,©2013 Debra L. Cook,©2011 Barry Breckling (CC BY-NC-SA 3.0),©2013 Debra L. Cook
8,Aesculus californica,California Buckeye,Sapindaceae,,Tree (deciduous),Summer,"White, Pink",13-24 ft,SF Native ,Riparian;Woodland,Part shade;Sun,All,,None,Nectar,Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,Backyard,11;18,NA,Recommended where there is space (ie: Palou Phelps park).  Attracts Western Tiger Swallowtail (Papilio rutulus) butterfly.,Gladys Lucille Smith © California Academy of Sciences,Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,William R. Hewlett © California Academy of Sciences,"SelecTree. ""Aesculus californica Tree Record."" 1995-2014. Feb 7, 2014",©1999 James B. Gratiot
9,Aesculus x carnea,Red Horsechestnut,Sapindaceae,,Tree (deciduous),,,> 24 ft,Exotic,,Part shade;Sun,,,NA,,,No,Sidewalk,NA,2 (B),gets windburn easily in summer even in protected sites.,"SelecTree. ""Aesculus _ carnea Photo Record."" 1995-2012. Jul 3, 2014.",,"SelecTree. ""Aesculus _ carnea Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Aesculus _ carnea Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Aesculus _ carnea Photo Record."" 1995-2012. Jul 3, 2014."
10,Agonis flexuosa,Peppermint Tree,Myrtaceae,,Tree (evergreen),Summer,White,> 24 ft,Exotic,,Sun,Clay;Loam,,NA,,,No,Sidewalk,NA,1 (A),Fast grower that requires extra tree care.,"SelecTree. ""Agonis flexuosa Photo Record."" 1995-2012. Jul 3, 2014.",,"SelecTree. ""Agonis flexuosa Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Agonis flexuosa Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Agonis flexuosa Photo Record."" 1995-2012. Jul 3, 2014."
11,Agonis flexuosa  'After Dark',After Dark Peppermint Tree,Myrtaceae,,Tree (evergreen),,,> 24 ft,Exotic,,Sun,,,NA,,Bees;Butterflies;Birds,No,Sidewalk,NA,2 (B),‘After Dark’ is a fast grower that requires extra tree care.,Bri Weldon (CC BY 2.0),,Jennifer de Graaf (CC BY-NC 2.0),Bri Weldon (CC BY 2.0),Jennifer de Graaf (CC BY-NC 2.0)
12,Alcea rosea,Hollyhock,Malvaceae,,Perennial,Summer,Orange;Pink;Purple;Red;White;Yellow,7-12 ft,Other,,Sun,Loam;Sand,,Low,Buds/greens;Nectar,Bees;Butterflies;Hummingbirds,No,Backyard,16,NA,Attracts West Coast Painted Lady (Vanessa annabella) butterfly.,©2011 Nick Kurzenko,,©2002 California Academy of Sciences,©2011 Nick Kurzenko,©2005 Luigi Rignanese (CC BY-NC 3.0)
13,Alnus rhombifolia,White Alder,Betulaceae,,Tree (deciduous),Fall,Yellow,> 24 ft,CA Native,Riparian,Shade;Sun,All,,Moderate,Nectar,Birds;Butterflies;Hummingbirds,Yes,Backyard,NA,NA,Streamside plant.,©Cal Poly San Luis Obispo,,©2011 BonTerra Consulting,©2008 Keir Morse (CC BY-NC-SA 3.0),©2012 Daniel Passarini (CC BY-NC-SA 3.0)
